id,country_code
SEQ_6791__L_LMGN,PL
INET_N_1087,PL
N_1626_S_LMGN,FR
N_1692_S_LMGN,FR
N_1985_S_LMGN,FR
SEQ_6559__L_LMGN,FR
N_1986_S_LMGN,FR
N_1988_S_LMGN,FR
N_290_L_LMGN,BE
SEQ_7823__M_LMGN,BE
N_794_S_LMGN,BE
N_224_S_LMGN,DK
SEQ_1832_p,DK
N_74_S_LMGN,DK
SEQ_10459__M_LMGN,ES
N_319_M_LMGN,TR
N_526_M_LMGN,TR
N_323_M_LMGN,TR
N_525_M_LMGN,TR
N_635_M_LMGN,TR
N_20_M_LMGN,TR
N_638_M_LMGN,TR
N_211_M_LMGN,TR
N_206_M_LMGN,TR
N_24_M_LMGN,TR
SEQ_8895__M_LMGN,NL
N_775_M_LMGN,NL
SEQ_8105__M_LMGN,ES
SEQ_5115__L_LMGN,CH
SEQ_5129__L_LMGN,CH
N_909_M_LMGN,IT
SEQ_1133__M_LMGN,FI
N_188_S_LMGN,FI
N_96_L_LMGN,GB
N_191_L_LMGN,GB
SEQ_2651__L_LMGN,IT
N_1759_S_LMGN,NL
N_624_L_LMGN,IT
SEQ_1908_p,EE
N_197_S_LMGN,EE
N_565_S_LMGN,LT
N_566_S_LMGN,LT
N_459_M_LMGN,LT
SEQ_5901__M_LMGN,ES
SEQ_5219__L_LMGN,IT
SEQ_229__M_LMGN,GR
SEQ_1929_p,GR
INET_N_1632,GR
SEQ_10869__M_LMGN,NL
N_522_M_LMGN,NL
SEQ_5571__M_LMGN,NL
N_170_L_LMGN,UA
SEQ_9273__M_LMGN,IT
SEQ_1946_p,IT
N_2108_S_LMGN,IT
SEQ_17879__S_LMGN,IT
N_1505_S_LMGN,IT
SEQ_3167__L_LMGN,GB
SEQ_5415__M_LMGN,GB
N_59_L_LMGN,GB
N_1302_S_LMGN,FR
N_1169_S_LMGN,IT
N_12_S_LMGN,GR
N_13_S_LMGN,GR
N_38_S_LMGN,GR
SEQ_8171__M_LMGN,CH
SEQ_8173__M_LMGN,FR
SEQ_8179__M_LMGN,FR
N_2608_S_LMGN,FR
SEQ_1293__M_LMGN,PL
N_116_G_LMGN,PL
N_212_L_LMGN,AT
SEQ_1986_p,AT
SEQ_6963__M_LMGN,ES
N_658_M_LMGN,IT
SEQ_11067__M_LMGN,IT
SEQ_1527__L_LMGN,IT
SEQ_1525__L_LMGN,IT
SEQ_1998_p,IT
SEQ_3713__L_LMGN,FR
SEQ_3707__L_LMGN,FR
N_2239_S_LMGN,FR
N_754_S_LMGN,CZ
SEQ_11659__S_LMGN,CZ
INET_N_970,CZ
SEQ_7797__M_LMGN,BE
SEQ_5205__L_LMGN,IT
SEQ_5207__L_LMGN,IT
SEQ_2017_p,IT
SEQ_17987__S_LMGN,IT
N_2339_S_LMGN,IT
N_2338_S_LMGN,IT
N_1218_S_LMGN,IT
SEQ_2025_p,LT
SEQ_5839__M_LMGN,IT
N_2495_S_LMGN,FR
N_1981_S_LMGN,FR
SEQ_15171__S_LMGN,FR
SEQ_6015__L_LMGN,FR
SEQ_8873__M_LMGN,NL
SEQ_709__L_LMGN,NL
SEQ_10285__M_LMGN,NL
Stor_EU_41,IT
N_2565_S_LMGN,CH
N_2460_S_LMGN,CH
N_963_S_LMGN,IT
SEQ_8905__M_LMGN,IT
N_913_S_LMGN,IT
N_1590_S_LMGN,HU
N_2583_S_LMGN,HU
SEQ_4163__M_LMGN,UA
SEQ_5829__L_LMGN,UA
INET_N_1714,UA
N_627_M_LMGN,IE
N_628_M_LMGN,IE
N_626_M_LMGN,IE
N_834_S_LMGN,IE
SEQ_9065__M_LMGN,GB
N_311_M_LMGN,GB
N_145_L_LMGN,FR
SEQ_3189__L_LMGN,FR
N_146_L_LMGN,FR
SEQ_4207__L_LMGN,FR
SEQ_4209__L_LMGN,FR
SEQ_4211__L_LMGN,FR
SEQ_4215__L_LMGN,FR
SEQ_4219__L_LMGN,FR
SEQ_4223__L_LMGN,FR
N_56_L_LMGN,FR
SEQ_1301__L_LMGN,FR
SEQ_9995__M_LMGN,FR
SEQ_2103_p,UA
N_133_M_LMGN,UA
N_312_M_LMGN,UA
SEQ_5601__M_LMGN,UA
SEQ_5597__M_LMGN,UA
N_524_M_LMGN,UA
N_707_S_LMGN,TR
SEQ_5115__S_LMGN,TR
SEQ_7829__L_LMGN,TR
SEQ_7825__L_LMGN,TR
SEQ_7821__L_LMGN,TR
SEQ_7799__L_LMGN,TR
SEQ_7781__L_LMGN,TR
N_262_L_LMGN,TR
SEQ_6955__L_LMGN,TR
N_261_L_LMGN,TR
SEQ_999__M_LMGN,TR
SEQ_1011__M_LMGN,TR
SEQ_1019__M_LMGN,TR
N_112_M_LMGN,TR
N_69_M_LMGN,TR
SEQ_615__M_LMGN,TR
N_68_M_LMGN,TR
SEQ_1365__L_LMGN,FR
SEQ_2169_p,FR
SEQ_7017__M_LMGN,FR
SEQ_10009__M_LMGN,FR
SEQ_10017__M_LMGN,FR
SEQ_10021__M_LMGN,FR
SEQ_6635__L_LMGN,FR
N_197_L_LMGN,FR
SEQ_6633__L_LMGN,FR
SEQ_6625__L_LMGN,FR
SEQ_6621__L_LMGN,FR
SEQ_6615__L_LMGN,FR
SEQ_6613__L_LMGN,FR
SEQ_6609__L_LMGN,FR
SEQ_4455__M_LMGN,TR
N_250_M_LMGN,TR
N_118_L_LMGN,FR
N_1348_S_LMGN,FR
N_2238_S_LMGN,FR
N_2237_S_LMGN,FR
N_80_L_LMGN,PL
SEQ_5901__L_LMGN,PL
