id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
N_245_L_LMGN,N_245_L_LMGN,['XX_5054'],['N_245_L_LMGN'],31.55458,30.376890000000003,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_245_M_LMGN,N_245_M_LMGN,['XX_5640'],['N_245_M_LMGN'],32.16894,35.50274,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_246_M_LMGN,N_246_M_LMGN,['XX_5642'],['N_246_M_LMGN'],31.82158,30.05925,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_247_M_LMGN,N_247_M_LMGN,['XX_5644'],['N_247_M_LMGN'],31.79042,30.36188,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_248_M_LMGN,N_248_M_LMGN,['XX_5645'],['N_248_M_LMGN'],31.62773,31.17752,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_250_NS_LMGN,N_250_NS_LMGN,['XX_10048'],['N_250_NS_LMGN'],53.59971,0.90791,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_252_M_LMGN,N_252_M_LMGN,['XX_5649'],['N_252_M_LMGN'],31.55392,32.78105,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_253_M_LMGN,N_253_M_LMGN,['XX_5262'],['N_253_M_LMGN'],31.47466,32.50888,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_255_M_LMGN,N_255_M_LMGN,['XX_5655'],['N_255_M_LMGN'],33.03047,35.68194000000001,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_255_NS_LMGN,N_255_NS_LMGN,['XX_10096'],['N_255_NS_LMGN'],57.04966,2.19009,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_256_M_LMGN,N_256_M_LMGN,['XX_5226'],['N_256_M_LMGN'],32.90511,35.689335,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_256_NS_LMGN,N_256_NS_LMGN,['XX_10100'],['N_256_NS_LMGN'],54.44144,1.51109,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_259_L_LMGN,N_259_L_LMGN,['XX_3617'],['N_259_L_LMGN'],44.46485,33.604620000000004,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_268_S_LMGN,N_268_S_LMGN,['XX_7121'],['N_268_S_LMGN'],42.74034,41.24536,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
