id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
INET_PL_291,Lussagnet_Bayonne,,923.7925292425738,2050,1.0,0.0,43.636724,104.96292590513802,-0.841033,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_897,INET_N_141,FR,FR,43.780448,43.493,-0.220066,-1.462,False
INET_PL_295_EE_0,Lacq_Navarra0,,923.7925292425738,2050,1.0,0.0,42.85707395,55.62202413511556,-1.2158935499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1018,INET_N_829,ES,FR,42.6953909,43.018757,-1.4760691,-0.955718,False
INET_PL_295_EE_1,Lacq_Navarra1,,923.7925292425738,2050,1.0,0.0,43.2198785,52.62119171511158,-0.784859,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_829,INET_N_814,FR,FR,43.018757,43.421,-0.955718,-0.614,False
INET_PL_298,Latiano_Brindisi_1,,1066.8,2050,1.0,0.0,40.572195,12.93149652006242,17.7888995,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_223,INET_N_832,IT,IT,40.593587,40.550803,17.860057,17.717742,False
INET_PL_300,Latiano_Brindisi_2,,457.2,2050,1.0,0.0,40.572195,12.93149652006242,17.7888995,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_223,INET_N_832,IT,IT,40.593587,40.550803,17.860057,17.717742,False
INET_PL_302,Lauria_Morano_1,,1219.0,2050,1.0,0.0,39.946885,34.11358832788348,15.988163499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_997,INET_N_833,IT,IT,39.843546,40.050224,16.135949,15.840378,False
INET_PL_304,Lauria_Morano_2,,1219.0,2050,1.0,0.0,39.946885,34.11358832788348,15.988163499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_997,INET_N_833,IT,IT,39.843546,40.050224,16.135949,15.840378,False
INET_PL_306,Legden_StHubert,,1000.0,2050,1.0,0.0,51.7155,86.35468936614024,6.7829999999999995,45.51031743360152,100.0,3.0,2024.0,292.0434688938135,INET_N_1406,INET_N_841,DE,DE,51.384,52.047,6.457,7.109,False
INET_PL_308,LeHavre_Paris_1,,508.0,2050,1.0,0.0,49.1755,178.4630207946387,1.248,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1116,INET_N_838,FR,FR,48.852,49.499,2.371,0.125,False
INET_PL_310,LeHavre_Paris_2,,610.0,2050,1.0,0.0,49.1755,178.4630207946387,1.248,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1116,INET_N_838,FR,FR,48.852,49.499,2.371,0.125,False
INET_PL_312_EE_0,Leira_Braga0,,711.0,2050,1.0,0.0,41.3455,43.51138233402443,-8.622,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_204,INET_N_1167,PT,PT,41.541,41.15,-8.614,-8.63,False
INET_PL_312_EE_1,Leira_Braga1,,711.0,2050,1.0,0.0,40.566754,131.12946939581678,-8.742315000000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1167,INET_N_259,PT,PT,41.15,39.983508,-8.63,-8.85463,False
INET_PL_312_EE_2,Leira_Braga2,,711.0,2050,1.0,0.0,39.865254,26.70721826543449,-8.881615,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_259,INET_N_847,PT,PT,39.983508,39.747,-8.85463,-8.9086,False
INET_PL_316,Lingen_PS,,1420.0,2050,1.0,0.0,52.4807,0.0,7.3062,45.51031743360152,100.0,3.0,2009.0,292.0434688938135,INET_N_867,INET_N_867,DE,DE,52.4807,52.4807,7.3062,7.3062,False
INET_PL_318_EE_0,LSF_10,,923.7925292425738,2050,1.0,0.0,49.07333765,62.99263038395948,11.8965431,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1334,INET_N_499,DE,DE,49.3198883,48.826787,12.1091352,11.683951,False
INET_PL_318_EE_1,LSF_11,,923.7925292425738,2050,1.0,0.0,48.524893500000005,67.68258809031109,11.740975500000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_499,INET_N_492,DE,DE,48.826787,48.223,11.683951,11.798,False
INET_PL_321,LSF_Extra,,923.7925292425738,2050,1.0,0.0,48.20325,78.34103018762423,12.32555,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_492,INET_N_241,DE,DE,48.223,48.1835,11.798,12.8531,False
INET_PL_323_EE_0,Lyon_Annecy_10,,923.7925292425738,2050,1.0,0.0,45.6681435,59.784806331088596,5.939056450000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_66,INET_N_449,FR,FR,45.903,45.433287,6.126,5.7521129,False
INET_PL_323_EE_1,Lyon_Annecy_11,,923.7925292425738,2050,1.0,0.0,45.324093500000004,62.52875858955803,5.383736450000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_449,INET_N_1480,FR,FR,45.433287,45.2149,5.7521129,5.01536,False
INET_PL_326_EE_0,Lyon_Annecy_20,,923.7925292425738,2050,1.0,0.0,45.6681435,59.784806331088596,5.939056450000001,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_66,INET_N_449,FR,FR,45.903,45.433287,6.126,5.7521129,False
